"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 05, 2023","28,187.1","28,164.4","28,744.4","27,823.5","77.38K","0.08%"
"Apr 04, 2023","28,164.4","27,802.2","28,429.1","27,668.9","64.06K","1.30%"
"Apr 03, 2023","27,802.1","28,194.7","28,458.4","27,256.9","98.00K","-1.41%"
"Apr 02, 2023","28,198.3","28,456.1","28,522.8","27,871.7","45.04K","-0.91%"
"Apr 01, 2023","28,456.1","28,473.7","28,795.1","28,285.6","38.09K","-0.06%"
"Mar 31, 2023","28,473.7","28,029.3","28,646.3","27,587.5","98.44K","1.58%"
"Mar 30, 2023","28,029.5","28,350.3","29,160.4","27,716.7","122.51K","-1.13%"
"Mar 29, 2023","28,350.4","27,262.9","28,627.4","27,249.8","109.32K","3.99%"
"Mar 28, 2023","27,262.2","27,127.8","27,465.0","26,665.6","94.16K","0.49%"
"Mar 27, 2023","27,129.8","27,974.8","28,023.3","26,611.5","107.24K","-3.02%"
"Mar 26, 2023","27,973.5","27,474.9","28,153.7","27,429.1","60.64K","1.81%"
"Mar 25, 2023","27,475.6","27,462.2","27,761.9","27,176.7","61.36K","0.05%"
"Mar 24, 2023","27,462.2","28,306.9","28,374.5","27,026.5","110.36K","-3.00%"
"Mar 23, 2023","28,310.7","27,262.8","28,734.1","27,144.6","158.46K","3.85%"
"Mar 22, 2023","27,261.7","28,114.2","28,760.3","26,668.7","262.03K","-3.03%"
"Mar 21, 2023","28,114.0","27,719.8","28,437.8","27,350.6","438.78K","1.42%"
"Mar 20, 2023","27,720.5","27,958.9","28,457.8","27,157.0","503.90K","-0.85%"
"Mar 19, 2023","27,958.7","26,914.5","28,347.3","26,844.6","393.27K","3.88%"
"Mar 18, 2023","26,914.5","27,391.9","27,659.1","26,688.7","392.47K","-1.74%"
"Mar 17, 2023","27,391.8","25,004.4","27,742.2","24,900.1","674.96K","9.55%"
"Mar 16, 2023","25,004.1","24,283.2","25,139.0","24,147.9","462.58K","2.97%"
"Mar 15, 2023","24,282.7","24,699.6","25,108.9","23,932.4","614.31K","-1.69%"
"Mar 14, 2023","24,699.7","24,121.5","26,365.9","23,994.6","753.06K","2.43%"
"Mar 13, 2023","24,114.4","21,994.8","24,406.2","21,859.6","733.63K","9.64%"
"Mar 12, 2023","21,994.8","20,465.0","22,028.6","20,294.2","455.69K","7.46%"
"Mar 11, 2023","20,467.5","20,156.5","20,669.5","19,796.7","453.46K","1.54%"
"Mar 10, 2023","20,156.7","20,362.0","20,362.6","19,591.8","655.27K","-1.01%"
"Mar 09, 2023","20,361.8","21,710.8","21,826.5","20,079.6","468.76K","-6.21%"
"Mar 08, 2023","21,710.8","22,197.8","22,274.3","21,661.3","316.51K","-2.19%"
"Mar 07, 2023","22,197.8","22,410.1","22,535.1","21,968.6","304.75K","-0.95%"
"Mar 06, 2023","22,410.0","22,428.2","22,595.4","22,320.1","215.31K","-0.08%"
"Mar 05, 2023","22,428.3","22,347.1","22,636.7","22,213.5","160.57K","0.36%"
